"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"22","Alex Kovalev","OTT","R","77","249","385","54","87.70","290","46","86.31","223","37","85.77","27","1","96.43","27.67","4.96","84.80","184","36","83.64","78","18","81.25","14","1","93.33","106","18","85.48","7","0","100.00","184","11","94.36","6","0","100.00","12.11","97.30","1.094","105","18","4","60","96.33","204","43","9","95.77"
"623","Steve Downie","T.B","R","79","209.65","349","49","87.69","273","41","86.94","191","33","85.27","26","1","96.30","21.66","3.2","87.14","146","29","83.43","57","17","77.03","9","1","90.00","89","12","88.12","10","0","100.00","194","14","93.27","7","0","100.00","13.61","96.97","1.106","92","22","11","90","89.32","162","41","17","90.50"
"444","Eric Fehr","WSH","C","69","99.633333333333","170","24","87.63","130","24","84.42","90","17","84.11","12","3","80.00","13.4","2.12","86.32","98","17","85.22","51","12","80.95","8","3","72.73","47","5","90.38","2","0","100.00","64","5","92.75","2","0","100.00","13.33","82.35","0.957","46","22","4","58","92.00","67","36","8","89.33"
"445","Ryan Getzlaf","ANA","C","66","255.91666666667","453","64","87.62","359","56","86.51","260","45","85.25","35","4","89.74","36.18","3.78","90.54","258","34","88.36","119","13","90.15","20","1","95.24","139","21","86.88","10","1","90.91","180","18","90.91","5","1","83.33","13.46","91.11","1.046","124","19","3","35","97.64","249","37","11","95.77"
"422","Alexandre Burrows","VAN","L","82","119.56666666667","191","27","87.61","133","21","86.36","91","16","85.05","11","1","91.67","10.62","1.95","84.51","89","15","85.58","40","10","80.00","8","1","88.89","49","5","90.74","1","0","100.00","92","9","91.09","2","0","100.00","12.09","93.75","1.058","80","21","2","69","97.56","109","28","8","93.16"
"539","Dave Bolland","CHI","C","39","68.083333333333","99","14","87.61","63","10","86.30","43","6","87.76","6","1","85.71","5.41","2.18","71.30","41","9","82.00","17","2","89.47","5","0","100.00","24","7","77.42","0","1","0.00","55","2","96.49","1","0","100.00","13.95","83.33","0.973","39","8","2","29","95.12","59","12","2","96.72"
"416","Ryan Whitney","ANA, EDM","D","81","301.96666666667","471","67","87.55","373","61","85.94","276","49","84.92","37","7","84.09","36.27","4.18","89.66","268","32","89.33","124","16","88.57","16","4","80.00","144","16","90.00","13","1","92.86","188","22","89.52","8","2","80.00","13.41","85.71","0.991","119","19","6","72","95.20","259","48","15","94.53"
"533","Wojtek Wolski","COL, PHX","L","80","258.18333333333","414","59","87.53","302","51","85.55","232","42","84.67","24","8","75.00","29.6","3.68","88.95","211","24","89.79","90","10","90.00","16","3","84.21","121","14","89.63","4","2","66.67","182","22","89.22","4","2","66.67","10.34","80.95","0.913","114","22","4","80","96.61","216","44","11","95.15"
"80","Chris Clark","CBJ, WSH","R","74","36.4","63","9","87.50","51","7","87.93","36","7","83.72","8","1","88.89","4.95","0.65","88.43","37","3","92.50","19","3","86.36","4","0","100.00","18","0","100.00","3","0","100.00","23","5","82.14","1","1","50.00","22.22","85.71","1.079","13","6","1","45","92.86","19","7","3","86.36"
"113","Cory Sarich","CGY","D","57","11.25","14","2","87.50","12","2","85.71","10","1","90.91","1","0","100.00","0.74","0.01","98.34","6","0","100.00","2","0","100.00","1","0","100.00","4","0","100.00","0","0","-","7","0","100.00","0","0","-","10.00","100.00","1.100","8","3","0","24","100.00","10","3","0","100.00"
