Row,Player,Season,Team,Position,GP,TOI,G,A1,A2,PTS,SOG,SA,SAT,xG,SH%_G,SH%_SOG,SH%_SAT,G_SOG,G_SA,G_SAT,HIT,PIM,BLK,GVA,TKA,FOW,FOL,FO_Diff,OZS,DZS
745,Troy Stecher,25-26,EDM,D,6,81.73,0,0,0,0,3,4,9,0.08,0,0,2,3,8,2,2,16,4,0,0,0,-4,0,0,0
746,Troy Stecher,25-26,TOR,D,44,884.12,3,3,6,12,48,82,129,2.92,6.25,3.66,3.56,54,52,9,21,85,6,4,0,0,-2,0,0,0
747,Troy Terry,25-26,ANA,R,46,844.35,13,20,12,45,107,169,221,16.77,12.15,7.69,9.92,13,38,18,0,41,6,7,0,0,1,4,4,0
748,Ty Dellandrea,25-26,S.J,C,42,604.95,2,7,2,11,44,64,86,5.95,4.55,3.12,9.3,36,24,7,117,52,9,17,0,0,8,267,244,23
749,Ty Emberson,25-26,EDM,D,59,943.7,2,3,7,12,37,51,91,0.98,5.41,3.92,1.92,98,43,11,86,163,8,2,1,1,-6,0,0,0
750,Tye Kartye,25-26,NYR,L,4,57.15,0,0,1,1,2,4,11,0.45,0,0,11.25,1,2,2,14,3,0,1,0,0,1,0,0,0
751,Tye Kartye,25-26,SEA,L,40,428.02,3,3,2,8,29,52,76,3.45,10.34,5.77,6.63,23,19,9,100,43,3,6,1,1,3,3,9,-6
752,Tyler Bertuzzi,25-26,CHI,L,60,1102.63,27,11,9,47,128,201,241,27.6,21.09,13.43,13.73,20,55,12,41,58,8,18,0,0,10,44,49,-5
753,Tyler Kleven,25-26,OTT,D,57,945.28,2,9,1,12,67,102,151,2.79,2.99,1.96,2.74,77,60,22,103,120,12,6,3,2,-7,0,0,0
754,Tyler Myers,25-26,VAN,D,57,1152.2,1,3,4,8,69,110,164,2.85,1.45,0.91,2.59,91,60,20,65,54,20,9,0,0,-11,0,0,0
755,Tyler Pitlick,25-26,MIN,C,32,248.73,2,0,0,2,26,41,50,2.76,7.69,4.88,6.73,19,8,5,78,31,2,3,2,1,0,0,3,-3
756,Tyler Seguin,25-26,DAL,C,27,449.87,7,7,3,17,31,56,69,5.48,22.58,12.5,9.79,6,21,3,18,9,1,3,0,0,2,126,109,17
757,Tyler Toffoli,25-26,S.J,C,61,950.93,16,13,10,39,139,203,287,20.26,11.51,7.88,9.98,27,47,15,41,28,5,5,0,0,0,4,16,-12
758,Tyler Tucker,25-26,STL,D,58,824.92,3,3,7,13,61,85,138,2.5,4.92,3.53,2.94,42,45,10,85,87,16,12,7,7,-4,0,0,0
759,Tyson Foerster,25-26,PHI,R,21,366.3,10,2,1,13,41,59,75,4.75,24.39,16.95,8.05,18,11,8,20,24,4,1,0,0,-3,1,1,0
760,Tyson Jost,25-26,NSH,C,50,571,3,1,4,8,56,81,110,6.08,5.36,3.7,7.51,19,21,15,53,73,10,12,0,0,2,34,54,-20
761,Tyson Kozak,25-26,BUF,C,39,442.58,2,2,0,4,26,35,48,2.94,7.69,5.71,8.4,33,23,11,98,37,1,2,0,0,1,164,171,-7
762,Urho Vaakanainen,25-26,NYR,D,27,374.95,0,2,2,4,20,36,57,0.74,0,0,2.06,21,15,5,9,45,7,3,0,0,-4,0,0,0
763,Uvis Balinskis,25-26,FLA,D,53,868.12,5,5,5,15,63,80,128,3.15,7.94,6.25,3.94,41,32,22,70,68,15,14,0,0,-1,0,0,0
764,Valeri Nichushkin,25-26,COL,R,53,950.23,13,10,14,37,118,186,251,18.83,11.02,6.99,10.12,21,43,20,44,49,6,12,0,0,6,2,2,0
765,Vasily Podkolzin,25-26,EDM,R,64,971.45,15,8,6,29,101,140,166,12.74,14.85,10.71,9.1,34,38,11,189,65,8,7,3,3,-1,15,38,-23
766,Victor Hedman,25-26,T.B,D,28,541.12,1,7,7,15,44,77,118,2.48,2.27,1.3,3.22,36,30,7,16,28,5,7,0,0,2,0,0,0
767,Victor Mancini,25-26,VAN,D,13,173.38,0,0,0,0,6,7,17,0.19,0,0,2.71,18,8,0,13,28,0,0,1,1,0,0,0,0
